Model,Accuracy,Balanced Accuracy,F1 Score,AUC,Confusion Matrix
lda,0.965296803652968,0.95587000064612,0.9511568123393316,0.9932336872635381,"[[687, 6], [32, 370]]"
lda_pca,0.94337899543379,0.9244524132583833,0.9171122994652406,0.9898379674499077,"[[690, 3], [59, 343]]"
logit,0.9579908675799087,0.9537539574853008,0.9425,0.9934849561715233,"[[672, 21], [25, 377]]"
logit_pca,0.960730593607306,0.9548738989037497,0.9457755359394704,0.9915932602499766,"[[677, 16], [27, 375]]"
qda,0.36712328767123287,0.5,0.5370741482965932,0.5,"[[0, 693], [0, 402]]"
qda_pca,0.9534246575342465,0.9454459305205574,0.9351969504447268,0.9896872061051165,"[[676, 17], [34, 368]]"
knn,0.7881278538812785,0.7772501130710086,0.7184466019417476,0.8737553215165156,"[[567, 126], [106, 296]]"
knn_pca,0.9315068493150684,0.9145506235058474,0.9011857707509882,0.971315859375561,"[[678, 15], [60, 342]]"
gbdt,0.9634703196347032,0.9549492795761452,0.948849104859335,0.9942997853445615,"[[684, 9], [31, 371]]"
gbdt_pca,0.9406392694063926,0.9285552755702009,0.9161290322580645,0.9846618279454101,"[[675, 18], [47, 355]]"
rf,0.94337899543379,0.9244524132583833,0.9171122994652406,0.9925552612119776,"[[690, 3], [59, 343]]"
rf_pca,0.9415525114155251,0.9297990566647283,0.9175257731958762,0.9815748099330189,"[[675, 18], [46, 356]]"
svm,0.9561643835616438,0.952833236415326,0.9402985074626866,,"[[669, 24], [24, 378]]"
svm_pca,0.960730593607306,0.9527847774116431,0.9452229299363057,,"[[681, 12], [31, 371]]"
