mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.15445566177368,0.1913297868042671,3.2338555812835694,0.06432192528874975,0.001,,scale,linear,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9349112426035503,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9295026881288763,0.00805265596444037,55
39.089651346206665,0.17193416051158233,7.919737529754639,0.08178103010990193,0.001,,scale,poly,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
36.149365949630734,0.4556743107462633,11.925302267074585,0.5006317554796914,0.001,,scale,rbf,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
34.18410983085632,0.8347757804547428,7.446771192550659,0.5544140031218517,0.001,,scale,sigmoid,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
14.855960130691528,0.5640653721766251,3.0797024250030516,0.314703971344269,0.001,,auto,linear,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9349112426035503,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9295026881288763,0.00805265596444037,55
38.866076374053954,0.12504699960003618,8.22788577079773,0.3004918171770219,0.001,,auto,poly,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
36.41522631645203,0.18041098175342435,11.60155963897705,0.25849592216886147,0.001,,auto,rbf,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
34.09303345680237,0.9487324825405616,7.438161420822143,0.5966165059469503,0.001,,auto,sigmoid,"{'svm__C': 0.001, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
15.016033554077149,0.6964981184635226,3.2921943187713625,0.0637577803216062,0.001,balanced,scale,linear,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9378698224852071,0.9186746987951807,0.9378698224852071,0.9237668161434978,0.9301068202171127,0.007700162591169038,49
45.86428279876709,0.1311126320805132,9.435642910003661,0.27282991888396735,0.001,balanced,scale,poly,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
48.08889756202698,0.10397640486945606,14.487851190567017,0.17705539633965686,0.001,balanced,scale,rbf,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
45.44501209259033,1.450007180245308,9.20562744140625,0.7925193864348626,0.001,balanced,scale,sigmoid,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
14.962684869766235,1.1325325918747489,3.2357160568237306,0.08407743704232622,0.001,balanced,auto,linear,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9378698224852071,0.9186746987951807,0.9378698224852071,0.9237668161434978,0.9301068202171127,0.007700162591169038,49
45.68330068588257,0.31780003407092433,9.975825643539428,0.21007335864266868,0.001,balanced,auto,poly,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
48.960377883911136,0.3406739193864909,15.657152652740479,0.30522758173982145,0.001,balanced,auto,rbf,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
46.26759886741638,1.1199441276544158,9.476201105117799,0.35725193789030335,0.001,balanced,auto,sigmoid,"{'svm__C': 0.001, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.5627563576702215,0.0,0.0,0.0,0.0,0.11255127153404429,0.2251025430680886,185
14.556043004989624,0.41834337510413305,3.1107115745544434,0.14653475117785592,0.101,,scale,linear,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
